sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.00375	0.00381	0.00388	0.00392	0.00464	0.00391	0.00394	0.00398	0.00378	0.00383	0.00396	0.00378
SRR23814150	0.00367	0.0	0.00363	0.00369	0.00356	0.00437	0.00375	0.00376	0.00368	0.00357	0.00366	0.00375	0.0037
SRR23814151	0.00387	0.00379	0.0	0.00394	0.00385	0.00468	0.00391	0.00405	0.00403	0.0038	0.00395	0.00395	0.00394
SRR23814153	0.004	0.00391	0.004	0.0	0.00386	0.00474	0.00399	0.00419	0.00403	0.00403	0.00399	0.00398	0.00388
SRR23814154	0.00397	0.00371	0.00384	0.00379	0.0	0.00462	0.00389	0.00397	0.00405	0.00385	0.00391	0.00386	0.0038
SRR23814155	0.00414	0.00393	0.00416	0.00414	0.0041	0.0	0.00421	0.00425	0.00422	0.00403	0.00419	0.00417	0.00408
SRR23814156	0.00389	0.00382	0.00382	0.00385	0.00381	0.0047	0.0	0.00395	0.00393	0.00379	0.00392	0.004	0.00396
SRR23814157	0.00372	0.00363	0.00377	0.00384	0.00369	0.00453	0.00375	0.0	0.00387	0.00377	0.00374	0.0038	0.00373
SRR23814158	0.00397	0.00377	0.00396	0.00389	0.00398	0.00471	0.00394	0.00407	0.0	0.00392	0.00397	0.00391	0.00394
SRR23814160	0.00365	0.00353	0.00361	0.00378	0.00367	0.00439	0.00369	0.00386	0.0038	0.0	0.00375	0.00369	0.00371
SRR23814161	0.00364	0.00356	0.00369	0.00367	0.00366	0.00453	0.00376	0.00377	0.00379	0.00369	0.0	0.00366	0.00371
SRR23814162	0.00423	0.00411	0.00416	0.00413	0.00407	0.0049	0.0043	0.00429	0.00419	0.00409	0.00412	0.0	0.00414
SRR23814164	0.00385	0.00386	0.00395	0.00382	0.00381	0.00462	0.00406	0.00402	0.00402	0.00391	0.00397	0.00394	0.0
